"","ASPEN-WW-12-A","ASPEN-WW-19-B","ASPEN-WW-12-B","ASPEN-WW-15-A","ASPEN-WW-17-B","ASPEN-WW-18-B","ASPEN-WW-20-B","ASPEN-WW-19-A","ASPEN-WW-10-A","ASPEN-WW-11-B","ASPEN-WW-17-A","ASPEN-WW-20-A","ASPEN-WW-13-B","ASPEN-WW-15-B","ASPEN-WW-16-A","ASPEN-WW-18-A","ASPEN-WW-10-B","ASPEN-WW-16-B","ASPEN-WW-13-A","ASPEN-WW-14-A","ASPEN-WW-11-A","ASPEN-WW-8-A","ASPEN-WW-8-B","ASPEN-VV-9-A","ASPEN-VV-9-B","ASPEN-VV-7-A","ASPEN-VV-7-B","ASPEN-WW-3-A","ASPEN-WW-3-B","ASPEN-WW-4-A","ASPEN-WW-4-B","ASPEN-WW-5-B","ASPEN-WW-6-A","ASPEN-WW-6-B","ASPEN-WW-7-A","ASPEN-WW-7-B","ASPEN-WW-9-A","ASPEN-WW-9-B","ASPEN-VV-8-A","ASPEN-WW-5-A","ASPEN-VV-10-A","ASPEN-VV-10-B","ASPEN-WW-2-A","ASPEN-WW-2-B","ASPEN-VV-8-B","ASPEN-VV-19-B","ASPEN-VV-6-A","ASPEN-VV-6-B","ASPEN-WW-1-A","ASPEN-WW-1-B","ASPEN-TT-1-A","ASPEN-TT-1-B","ASPEN-TT-2-A","ASPEN-TT-2-B","ASPEN-TT-3-A","ASPEN-TT-3-B","ASPEN-TT-4-A","ASPEN-TT-4-B","ASPEN-TT-5-A","ASPEN-TT-5-B","ASPEN-TT-6-A","ASPEN-TT-6-B","ASPEN-TT-7-A","ASPEN-TT-7-B","ASPEN-TT-8-A","ASPEN-TT-8-B","ASPEN-TT-10-A","ASPEN-TT-10-B","ASPEN-VV-16-A","ASPEN-VV-18-A","ASPEN-VV-18-B","ASPEN-VV-20-A","ASPEN-VV-20-B","ASPEN-TT-14-A","ASPEN-TT-15-A","ASPEN-VV-12-A","ASPEN-VV-12-B","ASPEN-VV-16-B","ASPEN-VV-17-A","ASPEN-VV-19-A","ASPEN-TT-12-B","ASPEN-TT-15-B","ASPEN-TT-13-B","ASPEN-TT-14-B","ASPEN-TT-18-A","ASPEN-TT-20-B","ASPEN-VV-4-A","ASPEN-VV-4-B","ASPEN-VV-14-A","ASPEN-VV-14-B","ASPEN-VV-17-B","ASPEN-TT-11-A","ASPEN-TT-12-A","ASPEN-TT-16-B","ASPEN-TT-17-A","ASPEN-TT-19-A","ASPEN-TT-20-A","ASPEN-VV-1-A","ASPEN-VV-1-B","ASPEN-VV-2-A","ASPEN-VV-2-B","ASPEN-VV-3-A","ASPEN-VV-3-B","ASPEN-TT-11-B","ASPEN-TT-17-B","ASPEN-VV-11-A","ASPEN-VV-11-B","ASPEN-VV-13-A","ASPEN-VV-13-B","ASPEN-VV-15-A","ASPEN-VV-15-B","ASPEN-TT-13-A","ASPEN-TT-16-A","ASPEN-TT-18-B","ASPEN-TT-19-B","ASPEN-UU-4-A","ASPEN-UU-4-B","ASPEN-UU-5-A","ASPEN-UU-5-B","ASPEN-UU-8-B","ASPEN-UU-9-A","ASPEN-UU-9-B","ASPEN-VV-5-A","ASPEN-VV-5-B","ASPEN-UU-1-A","ASPEN-UU-1-B","ASPEN-UU-2-A","ASPEN-UU-2-B","ASPEN-UU-10-A","ASPEN-UU-10-B","ASPEN-UU-6-A","ASPEN-UU-6-B","ASPEN-UU-13-A","ASPEN-UU-14-B","ASPEN-UU-11-B","ASPEN-UU-20-B","ASPEN-UU-12-A","ASPEN-UU-13-B","ASPEN-UU-14-A","ASPEN-UU-19-A","ASPEN-UU-19-B","ASPEN-UU-17-A","ASPEN-UU-17-B","ASPEN-UU-18-A","ASPEN-UU-18-B","ASPEN-UU-12-B","ASPEN-UU-16-A"
"1922",2.094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1923",3.961,2.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1924",2.52,2.049,2.93,2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1925",2.112,2.454,1.712,2.479,2.096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1926",1.09,1.325,1.814,1.871,1.894,1.754,1.219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1927",2.242,1.445,2.562,2.25,1.529,1.772,1.53,2.069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1928",2.037,2.297,2.214,2.208,1.445,1.381,1.99,2.861,1.01,3.217,2.547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1929",1.868,1.824,2.157,2.82,1.402,1.834,2.36,2.959,1.175,2.665,1.536,2.949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1930",1.845,1.823,1.826,2.517,1.406,1.312,1.532,2.335,1.228,2.968,1.372,2.313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1931",1.791,2.033,1.425,2.49,1.607,1.293,1.969,2.138,1.243,2.908,2.002,2.917,1.823,2.74,1.161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1932",2.639,1.966,2.315,2.852,2.157,2.277,1.711,2.522,1.373,2.605,2.233,2.34,1.637,3.242,1.71,2.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1933",1.701,1.82,2.452,2.19,1.423,1.837,1.125,1.667,0.964,2.731,1.993,1.355,1.323,2.885,1.789,2.217,0.95,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
